タイトル: オンラインサロンのマネタイズ悩み
録音ID: rec_20260407114112
文字起こしID: 10
録音日時: 2026-04-07T11:41:12.912Z
[04:55] speaker_0: っていうことだと思うんです。お金が欲しいし、みんなは別に幸せにならなくていいし。じゃあ漁船乗ろうかなってなるわけですよ。漁船はもちろん誰かを幸せにしてると思うけど、その直接的に学びを教えるとはじゃなくて、自分のために働くみたいな。よしじゃあFXやろうかな、みたいな、そんなことになるわけじゃないですか。でもそうじゃ
[05:15] speaker_0: ないから、コミュニティだったりオンラインサロン、学習する場所っていうものを作っているっていうことで、その場所にいられるっていうこと。そのものにそもそも価値を作っていてなおかつ
[05:31] speaker_0: 月額で言ったらそんなに超高額ではないっていうところを考えていくと、それに関してはまずその価値を理解できていないことに問題があるっていう風に思ってください。次はまず全く問題ないです。と確かに凹みますよね。訳が分からないヤツが来た時って、でもそれってもうそういう風に
[05:51] speaker_0: お金稼ぎでしょっていう人って、スターバックスって原価100円のコーヒーなのに900円で売ってて、結局お金儲けでしょ、みたいな、そういうレベルのことを言ってるんです。当然じゃないですか、っていう話で。そこにある雰囲気があったり、店員さんがいたり、スターバックスっていうブランドがあって、このコーヒーの価格が成り立ってるっていう構え
[06:11] speaker_0: 思うみたいなのは、そういうようなずるいっていう発想になっちゃうと、そういう風に言われるんです。でもそれはただの皮肉というよりは嫉妬でしかないという風に思います。もし
[06:31] speaker_0: 内容が薄くて死んだビジネス的にやっててお金儲けでしょって言われてるんだってら、それはまあ一つね、考え直すきっかけにしていいと思うんですけど。話を聞いている限りはそうじゃないかなっていう風にちょっと感じました。じゃあどう伝えたらいいですかっていうことは、これね、実は
[06:54] speaker_0: 情報の価値みたいなところに重きを置きすぎると、こうやって言われやすいんです。
[07:04] speaker_0: これ何を言ってるか難しいかなと思うので、軽く解説したいんですけど、この特別な情報を980円であなたたちにお届けしますよって言った時に、ユーザーどう考えるかっていうと、一つは980円、そんなに素敵な情報をくれてありがとうございますっていうこと、もう一つは、なんで無料でくれないって、そこでもお金取るんですかお金
[07:24] speaker_0: が欲しいんじゃないですか。っていうことです。これがお金儲けでしょう。結局っていうところの見解でつながってる側の見解ですよね。でもこれも分かる。確かにそういう人もいるし、そう思うことも分かるのです。僕は全然否定はしませんが、情報に対して
[07:44] speaker_0: は拡散するべきだとか、広く伝えるべきだっていう風に結構いろんな人が思ってしまっているっていう風っちょが僕はあると思っています。そんなことないじゃんって、本当は思うんだけど、結構みんなそう思ってる。なんで情報を秘匿して、そこの情報格差でお金を稼いじゃいけないのっていう
[08:04] speaker_0: ところが
[08:08] speaker_0: 難しいんですよね。みんな納得できないんです。でも無料で手応え道されたってくれる人に対する信頼感は逆にものすごく高くなるわけです。でもお金を取って情報をやる人たちに対してのヘイトはすごくあるっていう、これが情報っていうものの不思議なところなんですよね
[08:29] speaker_0: なので一個は、本当に出している情報がそもそも980円以上の情報の価値があるわけだから、お金儲けのためだったらもっと高く売りませんよって
[08:44] speaker_0: というパターン
[08:47] speaker_1: パパのだよ
[08:49] speaker_0: パパのだね
[10:16] speaker_1: なんで私がお姉さんだよ、そう。お
[10:20] speaker_0: お姉さんでしょ。絵を食べてるから、これ
[10:27] speaker_1: 私の血、パパ、パパがチーズ
[12:47] speaker_0: じゃあ、ちょっと再開します
[13:08] speaker_0: どこまで行きましたっけ。情報にお金をかけるっていうことに対して拒否感を持つ人はいるんだよ、っていうことが、これね、把握しておくのは重要だと思います。実際は、情報ってお金かかるんです。でも世の中には無料の情報が溢れすぎてて、そこをね、間違って解釈しちゃう人
[13:28] speaker_0: ってのは一定数います。本とかって情報が限られていて、あれなんかね、雑誌情報商材なわけなんだけど、本はOKみたいなところがあるわけ
[13:39] speaker_0: ですよね。実際のところじゃあどこにお金をかけてるんですかとかかかってるんですか、っていうことをもっとこれはね、ユーザーに分かってもらわなきゃいけないと思っていて。そのためには価格設定はもう全然いいです。980円は安すぎると言ってもいいぐらい、ちゃんとしたところだ。から、値の伝え方の方の問題でそれ
[13:59] speaker_0: は情報が特別だから980円かかるんです。っていうことはユーザーは情報に対して価値を見出していないのです。見出していないというか、情報っていうのは無料で拡散するべきものだと思っているからこそ、全く理解してくれないのか
[14:19] speaker_0: ないんですよ。じゃあ何にお金を払うんですかって言ったら、それは場所を作っていることですね。場所を作っていること、そしてその治安を守っていること、そして
[14:36] speaker_0: そういうイベントであったりとか
[14:43] speaker_0: コンテンツを特別に作っていることというところに価値を感じてもらうっていうことかな。後半になればなるほど、情報に近くなってくるので、コミュニティオンラインサロンという形を取るのであれば、やはり場所を作っていること、そのものに価値があるんだ、ということをもっと強く伝えていくべきです。つ
[15:03] speaker_0: つまり、それはどういうことかというと、ただ情報を流すだけならYouTubeを見たら実はいっぱいあります、ということ
[15:11] speaker_0: ですよね。でもなぜ世の中には参考書がたくさんあるのに塾があるのかっていうのを考えたら、これ分かる通り塾というのは一人で行うものではなくて、伴走してくれる先生。個別塾だったら伴走してくれる先生がいたり、皆で勉強を頑張ろうという仲間がたくさんいる場所にいるっていうこと
[15:31] speaker_0: が、そもそも勉強するというそういう動機を生むわけですよね。それで自宅でもいいじゃんと言った自宅で動画を見ればいい話ですが、でも実際にはそれだと動画を見るモチベーションが湧かなかったり、続かない人がいる訳です。けど塾という場所に行ってしまえばそれが出
[15:52] speaker_0: 来るということと同じように、学習系の情報っていうのは世の中にたくさんある訳だし、究極自分で本を買ったりとかAIに聞いたら何でも学ぶことは出来自る訳ですけど、ちょっとできるわけです。けどちょっと迷ったときにあのどこがすぐに聞ける先生がいること
[16:13] speaker_1: 流しぶりでお楽しみ
[16:14] speaker_2: しみでお楽しみでお楽しみでお楽しみでお楽しみでお楽しみでお楽しみでお楽しみでお楽しみでお楽しみでお楽しみだったのか
[16:18] speaker_0: まあ、そういう風にすぐに行く
[16:20] speaker_2: けること
[16:20] speaker_0: であったりとか
[16:34] speaker_0: 同じ学びをしている同じカリキュラムを受けている仲間がそこにいることであったり、同じ目標を目指す仲間がそこにいること。これに価値があると、そこの仲間がいることや場所を作ることの担保として何を設けていきますかと言ったら、それはお金なんです。誰で
[16:54] speaker_0: もいいよって言ったら誰でも行きます。本当に誰でもどうぞって言ったら誰でも来て何も言わないで情報を盗む人というか、情報を得る人ってのはたくさんいるわけです。それはある意味では仲間にはなるんだけれども、別にそことコミュニケーションを取る
[17:10] speaker_0: 必要性もないままに、本当に意識が高い人も低い人もいっぱい入ってくるわけで、高い人たちからしたら、意識低い人たちが入ってくると場が濁るわけですよね。その場の雰囲気そのものが低い人たちに合わせて濁っていくと
[19:18] speaker_0: はい、ということ。場所に対してお金を払っているということ。そういう場所を作るためには当然、コストをかける必要があるわけですよね
[19:32] speaker_0: このコストっていうのは自分自身のコストでもある。自分が他のことをする時間を割いて何かのビジネス活動する時間を割いて、ここに時間をかけているんだということ。そこを補填するっていう意味合いでまずお金がかかります。なぜなら自分はこんな場所を作らないで他のことをしてるのが稼げるんだ。でも皆の幸せに直接的に繋って
[19:52] speaker_0: もらいたいと思ってるからやるわけです。だから低コストで見ながらお金をちょっとずつもらうと、1人から100万円もらってたった一人だけを鍛え上げる形ではなくて、皆に広くそういう場所を提供した方が皆のためになるのではないかと思っている。とはいえ、それを無償でやって
[20:12] speaker_0: いるどっかでパンくをしてその場所が壊れてしまうと場所が壊れてしまうと不幸になるのは誰ですか私ですか。違います、皆さんなんですよね。そうやって場所を作るということ。そのものに価値がありますよ。っていうことをきちんと伝えていくと、その場所に入ることに価値を見出すことができる。その
[20:32] speaker_0: 場所がハードルとして980円が存在する、ハードルとして5,980円が存在する、ハードルとして1万円が存在する。このハードルを超えられる人だけが来る場所だから、特別なんです。お金を払って学びに来る人だけがいる、意識が高い場所です。っていうことが価値になるわけですよね。はい。
[20:52] speaker_0: はい、ということでこういう風に場所でスタッフ、価値を見出すっていうことと共に、それを維持するためにとか中に限定的なコンテンツを作って皆によりサポートしていくためにスタッフを雇う必要があります。お手伝いの人を呼ぶ必要があります。と、でも僕自身だけだったら全てタダでやってもいいかもしれない
[21:13] speaker_0: けどお
[21:15] speaker_0: お手伝いの人たちまで全部タダでやってくださいということは私にはどうしても言えないと。どの人たちにはきちんとした対価をお支払いして頑張ってもらいたい。その分スタッフとして皆に力を尽くしてほしいという風に言っています。なのでそのコストはやはりどこかで回収しなければいけないと。じゃないと持続させるためにも
[21:35] speaker_0: いことが最も良くないこと。なので持続させるためにも皆さんから薄く頂戴することによってスタッフを支えつつ雇用を生み出して、さらに皆さんには学習を授けてますと。こういう風にしたらこれを否定できる人っていうのは多分いないはずです。いや、そんなのただでやれという人はいないと。つまり情報を囲います。情報が有料です
[21:55] speaker_0: っていうのはただで出せって思うんだけど、その場所を作っていることだったり、スタッフを雇っていることっていうことに対して、それはおかしいっていう人はいないということです。はい、ということでこういう風にきちんと納得してもらえるような伝え方をしていくっていうことが大切なんじゃないかないかという風に思いました。はい。今日はありがとうございます
